Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/10/penyebab-haid-tidak-teratur-dan-cara-mengatasinya-simak-penjelasan-seksolog-dr-boyke,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,424000,2024-07-10,2024-07-15
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/06/cara-mengetahui-perempuan-masih-perawan-atau-tidak-dr-boyke-ungkap-caranya,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,358000,2024-07-10,2024-07-16
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/09/kalau-gak-mau-bayi-lahir-dengan-iq-rendah-dr-boyke-saat-hamil-jangan-minum-ini-kesuburan-terjaga?page=3,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,246000,2024-07-10,2024-07-15
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/15/12-manfaat-minum-air-kelapa-yang-jarang-diketahuimerawat-ginjal-hingga-nambah-vitalitas-pria?page=3,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,237000,2024-07-15,2024-07-16
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/11/tiga-manfaat-daun-sirih-untuk-organ-intim-dan-mimisan-dr-boyke-ini-takaran-dan-cara-menggunakannya,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,138000,2024-07-10,2024-07-16
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/11/tiga-manfaat-daun-sirih-untuk-organ-intim-dan-mimisan-dr-boyke-ini-takaran-dan-cara-menggunakannya?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,121000,2024-07-10,2024-07-16
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/11/dear-para-gadis-dr-boyke-bagikan-tiga-tips-atasi-keputihan-jangan-makan-nanas,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,120000,2024-07-11,2024-07-16
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/06/cara-mengetahui-perempuan-masih-perawan-atau-tidak-dr-boyke-ungkap-caranya?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,117000,2024-07-10,2024-07-15
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/12/toilet-jongkok-vs-toilet-duduk-mana-yang-lebih-sehat-ini-penjelasan-seksolog-dr-boyke?page=all,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,107000,2024-07-12,2024-07-16
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/06/cara-mengetahui-perempuan-masih-perawan-atau-tidak-dr-boyke-ungkap-caranya?page=3,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,80000,2024-07-10,2024-07-16
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/11/tiga-manfaat-daun-sirih-untuk-organ-intim-dan-mimisan-dr-boyke-ini-takaran-dan-cara-menggunakannya?page=3,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,60000,2024-07-10,2024-07-16
m.tribunnews.com,Page,N/A,N/A,m.tribunnews.com/internasional/2024/07/08/cerita-warga-gaza-eks-tawanan-israel-kami-disiksa-ditelanjangi-tentara-wanita-injak-kepala-kami?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,27000,2024-07-10,2024-07-15
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/10/penyebab-haid-tidak-teratur-dan-cara-mengatasinya-simak-penjelasan-seksolog-dr-boyke?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,26000,2024-07-13,2024-07-16
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/07/12/isi-chat-mesum-pejabat-kampus-ums-ajak-mahasiswi-hubungan-badan-blak-blakan-tanya-soal-keperawanan?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,19000,2024-07-12,2024-07-15
