Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/11/fakta-fakta-ibu-di-indramayu-lahirkan-bayi-kembar-5-jarak-satu-menit-saat-usg-yang-terlihat-3-janin?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,30000,2024-07-17,2024-07-22
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2022/09/15/istri-perlu-tahu-begini-cara-puaskan-suami-jika-sedang-haid-jangan-biarkan-pasangan-anda-buat-dosa,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,8800,2024-07-17,2024-07-23
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/11/fakta-fakta-ibu-di-indramayu-lahirkan-bayi-kembar-5-jarak-satu-menit-saat-usg-yang-terlihat-3-janin,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,7700,2024-07-17,2024-07-23
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2022/12/01/buya-yahya-beberkan-tips-puaskan-suami-saat-istri-dalam-keadaan-haid,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3900,2024-07-17,2024-07-23
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/06/cara-mengetahui-perempuan-masih-perawan-atau-tidak-dr-boyke-ungkap-caranya,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3500,2024-07-17,2024-07-23
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/tafakur,No,Google-served ads obscuring content,Restricted ad serving,ca-pub-7784034061253020,3400,2024-07-17,2024-07-23
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2023/01/23/seksolog-dr-boyke-beri-tips-cara-memuaskan-pasangan-saat-berhubungan-intim-singgung-bermacam-gaya,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2800,2024-07-17,2024-07-23
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2022/11/01/berhubungan-intim-lebih-dari-2-kali-sehari-berapa-kali-idealnya-begini-jawaban-seksolog-dr-boyke,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2500,2024-07-17,2024-07-23
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2022/08/20/mitos-atau-fakta-benarkah-wanita-berbulu-lebat-punya-gairah-seksual-tinggi-begini-kata-dr-boyke,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2200,2024-07-17,2024-07-23
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2021/06/16/suami-istri-adalah-muhrim-apakah-batal-wudhunya-jika-bersentuhan-kulit-simak-kata-uas-buya-yahya,No,Google-served ads obscuring content,Restricted ad serving,ca-pub-7784034061253020,2000,2024-07-17,2024-07-23
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2022/11/21/sudah-menikah-tapi-masih-sering-masturbasi-normalkah-begini-jawaban-seksolog-dr-boyke,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2000,2024-07-17,2024-07-23
