Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/09/12/7-cara-gampang-nonton-yandex-browser-jepang-video-film-viral-terbaru-thailand-gak-perlu-vpn,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,126000,2024-09-11,2024-09-17
pontianak.tribunnews.com,Page,N/A,N/A,pontianak.tribunnews.com/2024/09/08/dprkpplh-kapuas-hulu-butuh-alat-berat-excavator-tangani-sampah,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,88000,2024-09-11,2024-09-17
sulbar.tribunnews.com,Page,N/A,N/A,sulbar.tribunnews.com/2024/08/16/full-hd-tanpa-sensor-7-cara-gratis-akses-video-viral-yandex-com-jumat-16-agustus-2024,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,70000,2024-09-11,2024-09-17
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/09/14/tampang-suami-jual-istri-di-mojokerto-digrebek-tidur-bareng-2-pria-puaskan-fantasi-sambil-dibayar,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,64000,2024-09-13,2024-09-17
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/09/11/viral-video-ayah-banting-dan-tendang-anak-perempuannya-korban-sering-mengambil-uang-nenek,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,28000,2024-09-11,2024-09-17
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/09/13/potret-mama-muda-17-tahun-di-purwakarta-usai-bacok-suaminya-yang-berusia-59-tahun-apa-motifnya,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,28000,2024-09-13,2024-09-15
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/09/14/tampang-suami-jual-istri-di-mojokerto-digrebek-tidur-bareng-2-pria-puaskan-fantasi-sambil-dibayar?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,28000,2024-09-14,2024-09-17
sulbar.tribunnews.com,Page,N/A,N/A,sulbar.tribunnews.com/2024/09/03/tontonan-gratis-video-viral-yandex-com-full-hd-tanpa-sensor-update-selasa-3-september-2024,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,19000,2024-09-11,2024-09-17
jabar.tribunnews.com,Page,N/A,N/A,jabar.tribunnews.com/2024/09/11/viral-video-bocah-disiksa-paman-di-bulukumba-dibanting-ke-lantai-hingga-ditendang-ini-motif-pelaku,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,18000,2024-09-11,2024-09-16
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/09/14/tampang-suami-jual-istri-di-mojokerto-digrebek-tidur-bareng-2-pria-puaskan-fantasi-sambil-dibayar?page=3,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,18000,2024-09-14,2024-09-17
surabaya.tribunnews.com,Page,N/A,N/A,surabaya.tribunnews.com/,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020;ca-video-pub-7784034061253020,17000,2024-09-17,2024-09-17
