Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/11/08/viral-sepasang-remaja-diduga-lakukan-aksi-mesum-di-pantai-padang-padang-ini-kata-bendesa-pecatu,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,53000,2024-11-08,2024-11-14
trends.tribunnews.com,Page,N/A,N/A,trends.tribunnews.com/2024/11/12/rekaman-video-syur-mirip-lydia-onic-durasi-12-menit-13-detik-begini-awal-mula-viral-di-x-twitter,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,26000,2024-11-11,2024-11-14
sumsel.tribunnews.com,Page,N/A,N/A,sumsel.tribunnews.com/2024/11/13/nasib-rouf-kerja-4-bulan-jadi-sopir-truk-kini-alami-kecelakaan-awalnya-jual-tahu-bulat,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,22000,2024-11-12,2024-11-14
banten.tribunnews.com,Page,N/A,N/A,banten.tribunnews.com/2024/11/10/link-terbaru-video-mesum-mirip-lydia-onic-durasi-12-menit-13-detik-berikut-ini-sosoknya,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,13000,2024-11-10,2024-11-14
makassar.tribunnews.com,Page,N/A,N/A,makassar.tribunnews.com/2020/07/06/ciri-ciri-wanita-tidak-perawan-lihat-6-bentuk-fisiknya?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,9200,2024-11-08,2024-11-14
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/11/12/pilu-ibu-sri-ulina-ditunjang-sampai-masuk-parit-saat-insiden-prajurit-tni-armed-serang-warga-sipil,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,8500,2024-11-11,2024-11-13
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/11/14/kejam-ibu-di-batam-rantai-leher-putri-kandung-gegara-sembunyikan-hp-kepala-korban-bocor-dianiaya,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,8200,2024-11-14,2024-11-14
lampung.tribunnews.com,Page,N/A,N/A,lampung.tribunnews.com/,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,8000,2024-11-14,2024-11-14
surabaya.tribunnews.com,Page,N/A,N/A,surabaya.tribunnews.com/2024/10/29/sosok-istri-aipda-wh-pelapor-guru-supriyani-yang-mengaku-mendapat-penolakan-luar-biasa-dari-pgri,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,7800,2024-11-08,2024-11-14
www.tribunnews.com,Page,N/A,N/A,www.tribunnews.com/regional/2024/11/13/profil-rouf-sopir-truk-pemicu-kecelakaan-beruntun-di-cipularang-punya-5-anak-dan-nafkahi-kakak,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,7500,2024-11-12,2024-11-14
