Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/10/09/pasutri-wajib-tahu-ini-tips-dari-dr-boyke-agar-rumah-tangga-bahagia,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,248000,2024-10-09,2024-10-15
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/10/09/pasutri-wajib-tahu-ini-tips-dari-dr-boyke-agar-rumah-tangga-bahagia?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,122000,2024-10-09,2024-10-15
www.tribunnews.com,Site,N/A,N/A,www.tribunnews.com,No,Consent requirement: Low coverage,Restricted ad personalization,,31000,2024-10-09,2024-10-15
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/10/13/mayat-yang-ditemukan-di-sungai-ayung-sibang-gede-ternyata-sudah-dilaporkan-hilang-pada-minggu-lalu,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,25000,2024-10-13,2024-10-14
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/10/15/7-cara-gampang-nonton-video-viral-yandex-ru-browser-jepang-semua-film-2024-anti-blokir-gak-pake-vpn,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,10000,2024-10-15,2024-10-15
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/2024/04/12/kunci-jawaban-ipa-kelas-9-smp-halaman-44-kurikulum-merdeka-kontrasepsi-dan-kesehatan-reproduksi,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,5800,2024-10-10,2024-10-15
jambi.tribunnews.com,Page,N/A,N/A,jambi.tribunnews.com/404,Yes,Google-served ads on screens without publisher-content,Restricted ad serving,ca-pub-7784034061253020,5400,2024-10-09,2024-10-15
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/10/13/update-mayat-yang-ditemukan-di-sungai-ayung-sempat-dicari-menggunakan-baleganjur,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,5400,2024-10-13,2024-10-14
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/10/14/israel-bakar-hidup-hidup-warga-palestina-yang-mengungsi-di-rs-syuhada-al-aqsa,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,4400,2024-10-13,2024-10-15
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/2023/06/06/dilarang-tayang-di-indonesia-5-anime-penuh-adegan-panas-18-tanpa-sensor,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,4200,2024-10-09,2024-10-15
pekanbaru.tribunnews.com,Page,N/A,N/A,pekanbaru.tribunnews.com/2023/08/02/video-viral-cewek-hijab-viral-beredar-di-instagram,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3800,2024-10-09,2024-10-14
sulbar.tribunnews.com,Page,N/A,N/A,sulbar.tribunnews.com/2024/08/16/full-hd-tanpa-sensor-7-cara-gratis-akses-video-viral-yandex-com-jumat-16-agustus-2024,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3600,2024-10-09,2024-10-15
makassar.tribunnews.com,Page,N/A,N/A,makassar.tribunnews.com/404,Yes,Google-served ads on screens without publisher-content,Restricted ad serving,ca-pub-7784034061253020,3600,2024-10-09,2024-10-14
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/10/09/pengurus-ponpes-di-langkat-dibakar-santri-korban-alami-luka-80-persen?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,3600,2024-10-09,2024-10-15
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/10/14/diborgol-di-taman-pancing-denpasar-ketidakjujuran-aris-di-legian-berujung-bui,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3500,2024-10-13,2024-10-14
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2022/09/15/istri-perlu-tahu-begini-cara-puaskan-suami-jika-sedang-haid-jangan-biarkan-pasangan-anda-buat-dosa,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3500,2024-10-09,2024-10-15
sumsel.tribunnews.com,Page,N/A,N/A,sumsel.tribunnews.com/2021/08/25/belajar-gitar-7-lagu-romantis-armada-dan-dewa-19-pakai-kunci-paling-mudah-cocok-bagi-pemula,Yes,Encouraging accidental clicks: Layout,Restricted ad serving,ca-pub-7784034061253020,3300,2024-10-09,2024-10-15
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/09/23/pengakuan-pelaku-congkel-mata-faisal-di-bogor-parah-perkirakan-korban-tak-bisa-melihat-lagi,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,2900,2024-10-09,2024-10-15
makassar.tribunnews.com,Page,N/A,N/A,makassar.tribunnews.com/2020/07/06/ciri-ciri-wanita-tidak-perawan-lihat-6-bentuk-fisiknya?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2900,2024-10-09,2024-10-15
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/2024/09/01/link-vidu-ai-studio-gratis-untuk-bikin-2-foto-pelukan-dan-cium-ikut-tren-tiktok-viral-anti-gagal,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2900,2024-10-09,2024-10-15
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/2017/09/14/bertobat-pemeran-tarzan-x-tinggalkan-film-biru-setelah-banyak-merenung?page=all,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2800,2024-10-09,2024-10-15
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/2022/11/04/amalan-doa-kuat-dan-tahan-lama-khusus-suami-ketika-berhubungan-dengan-istri,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2800,2024-10-09,2024-10-15
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/2024/08/15/biodata-erika-putri-sosoknya-viral-gegara-video-blunder-8-menit-prank-ojol,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2700,2024-10-09,2024-10-15
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2019/05/22/kronologi-hingga-motif-pelaku-mutilasi-di-malang-ini-7-fakta-terbaru-sugeng-tersangka-pembunuhan,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,2600,2024-10-09,2024-10-15
banjarmasin.tribunnews.com,Page,N/A,N/A,banjarmasin.tribunnews.com/2020/11/07/tato-di-paha-gisella-anastasia-disorot-pasca-video-syur-mirip-gisel-heboh-dan-viral,Yes,Ads Disguised as Content,Restricted ad serving,ca-pub-7784034061253020,2500,2024-10-09,2024-10-15
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/2024/08/08/video-viral-erika-blunder-8-menit-prank-ojol-apa-isinya-klarifikasi-dan-faktasebenarnya,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2400,2024-10-09,2024-10-15
makassar.tribunnews.com,Page,N/A,N/A,makassar.tribunnews.com/2016/11/26/rugi-kalau-tak-tahu-inilah-arti-bo-st-lt-di-ucapan-terima-kasih-psk-kepada-anji-drive,Yes,Adult: Sexual content;Site Behavior: Navigation,Restricted ad serving,ca-pub-7784034061253020,2400,2024-10-09,2024-10-15
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/2024/08/11/video-viral-erika-putri-dan-ojol-8-menit-blunder-masih-dicari-si-selebgram-respons-santai,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2300,2024-10-09,2024-10-15
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/2020/10/12/5-posisi-bercinta-agar-perempuan-raih-kepuasan-wot-hingga-sideways-straddle,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2200,2024-10-09,2024-10-15
sulbar.tribunnews.com,Page,N/A,N/A,sulbar.tribunnews.com/2023/02/13/nesya-viral-trending-di-twitter-video-adegan-wikwik-gadis-18-tahun-no-sensor-link-dicari-nitizen,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2200,2024-10-10,2024-10-13
health.tribunnews.com,Page,N/A,N/A,health.tribunnews.com/2024/10/14/kesehatan-mental-yang-buruk-sebabkan-disfungsi-ereksi-jadi-ancaman-keharmonisan-rumah-tangga?source=kgnotif_1,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2200,2024-10-13,2024-10-15
pekanbaru.tribunnews.com,Page,N/A,N/A,pekanbaru.tribunnews.com/2023/06/23/link-kiwora-ml-atau-kiwora-twitter-mlbb-art-yang-lagi-viral-buat-yang-cukup-umur,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2200,2024-10-11,2024-10-13
makassar.tribunnews.com,Page,N/A,N/A,makassar.tribunnews.com/2020/07/06/ciri-ciri-wanita-tidak-perawan-lihat-6-bentuk-fisiknya?page=3,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2100,2024-10-09,2024-10-15
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2022/12/01/buya-yahya-beberkan-tips-puaskan-suami-saat-istri-dalam-keadaan-haid,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2000,2024-10-09,2024-10-15
style.tribunnews.com,Page,N/A,N/A,style.tribunnews.com/2022/11/04/5-rekomendasi-anime-erotis-tanpa-sensor-penuh-dengan-adegan-syur-ada-serial-high-school-dxd,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2000,2024-10-09,2024-10-15
www.tribunnewswiki.com,Page,N/A,N/A,www.tribunnewswiki.com/2024/06/04/video-7-menit-ibu-dan-anak-kecil-baju-biru-part-2-viral-di-twitter-hany-pernah-dicabuli-ayahnya,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,1900,2024-10-11,2024-10-15
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/404,Yes,Google-served ads on screens without publisher-content,Restricted ad serving,ca-pub-7784034061253020,1900,2024-10-09,2024-10-15
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/10/09/motif-santri-di-langkat-bakar-pengurus-ponpes-pelaku-ngaku-sering-dibully-dan-difitnah?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,1900,2024-10-09,2024-10-13
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/06/24/cara-mengetahui-perempuan-masih-perawan-atau-tidak-apa-bisa-dilihat-dari-fisik-ini-kata-dr-boyke,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,1900,2024-10-09,2024-10-15
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/2016/01/27/begini-cara-mengamankan-akun-facebook-dari-konten-porno,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,1800,2024-10-09,2024-10-15
kupang.tribunnews.com,Page,N/A,N/A,kupang.tribunnews.com/kupang-news,Yes,Modified ad code: Resizing Ad Frames,Restricted ad serving,ca-pub-7784034061253020,1700,2024-10-09,2024-10-15
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/2022/03/06/begini-cara-meracik-merica-kopi-telur-dan-madu-sebagai-obat-kuat-pria-minum-pas-hangat,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,1600,2024-10-09,2024-10-15
bengkulu.tribunnews.com,Page,N/A,N/A,bengkulu.tribunnews.com/2024/03/18/10-arti-mimpi-berhubungan-badan-dalam-islam-dengan-mantan-hingga-ibu-kandung,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,1600,2024-10-09,2024-10-15
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/09/26/inilah-sosok-wanita-cantik-perekam-adegan-syur-guru-dan-siswi-biar-kapok-istri-tahu?source=kgnotif_1,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,1500,2024-10-09,2024-10-15
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2022/10/15/tips-agar-hamil-anak-perempuan-seksolog-dr-boyke-ungkap-3-cara-mudah-ini-untuk-dilakukan-pasutri,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,1500,2024-10-09,2024-10-15
