Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/24/menstruasi-tak-lancar-bikin-tambah-stres-dokter-boyke-bagikan-tips-bermanfaat-bagi-kaum-hawa,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,99000,2024-07-26,2024-07-30
sultra.tribunnews.com,Page,N/A,N/A,sultra.tribunnews.com/2023/02/20/video-erika-viral-di-tiktok-prank-ojol-full-1-menit-31-detik-awalnya-masuk-rumah-lalu-kamar-mandi,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,37000,2024-07-25,2024-07-31
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/24/menstruasi-tak-lancar-bikin-tambah-stres-dokter-boyke-bagikan-tips-bermanfaat-bagi-kaum-hawa?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,34000,2024-07-26,2024-07-31
makassar.tribunnews.com,Page,N/A,N/A,makassar.tribunnews.com/2020/07/06/ciri-ciri-wanita-tidak-perawan-lihat-6-bentuk-fisiknya?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,20000,2024-07-25,2024-07-31
www.tribunnews.com,Page,N/A,N/A,www.tribunnews.com/pendidikan/2022/08/01/kunci-jawaban-ipa-kelas-9-smp-halaman-8-organ-penyusun-sistem-reproduksi-laki-laki-dan-fungsinya,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,18000,2024-07-28,2024-07-31
makassar.tribunnews.com,Page,N/A,N/A,makassar.tribunnews.com/2020/07/06/ciri-ciri-wanita-tidak-perawan-lihat-6-bentuk-fisiknya?page=3,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,13000,2024-07-25,2024-07-31
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2022/09/15/istri-perlu-tahu-begini-cara-puaskan-suami-jika-sedang-haid-jangan-biarkan-pasangan-anda-buat-dosa,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,12000,2024-07-25,2024-07-31
kupang.tribunnews.com,Page,N/A,N/A,kupang.tribunnews.com/2017/12/09/tanpa-sensor-para-pemain-di-lima-film-ini-benar-benar-lakukan-adegan-ranjang-di-depan-kamera,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,11000,2024-07-25,2024-07-31
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/07/27/ketakutan-ditilang-pengendara-motor-sport-tabrak-polisi-setelah-menerobos-lampu-merah-lalu-lintas?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,8500,2024-07-27,2024-07-30
sultra.tribunnews.com,Page,N/A,N/A,sultra.tribunnews.com/2023/04/19/video-syakirah-viral-di-tiktok-dan-twitter-kini-16-link-full-videonya-diburu-warganet-sosok-pemeran,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,7200,2024-07-25,2024-07-31
jogja.tribunnews.com,Page,N/A,N/A,jogja.tribunnews.com/2023/09/23/lirik-dan-terjemahan-lagu-youre-on-your-own-kid-taylor-swift,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,6800,2024-07-25,2024-07-31
banjarmasin.tribunnews.com,Page,N/A,N/A,banjarmasin.tribunnews.com/2024/07/26/jasad-kakek-73-tahun-dikubur-setengah-badanpelajar-smk-di-loksado-hss-ini-beraksi-sendiri,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,6700,2024-07-26,2024-07-30
jabar.tribunnews.com,Page,N/A,N/A,jabar.tribunnews.com/2024/07/25/viral-video-driver-taksi-online-dibacok-penumpang-hingga-tewas-di-kendari-pelaku-pasien-rsj,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,5900,2024-07-25,2024-07-31
makassar.tribunnews.com,Page,N/A,N/A,makassar.tribunnews.com/2020/07/06/ciri-ciri-wanita-tidak-perawan-lihat-6-bentuk-fisiknya?page=4,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,5700,2024-07-25,2024-07-31
jatim.tribunnews.com,Page,N/A,N/A,jatim.tribunnews.com/2024/07/19/sosok-suami-jennifer-coppen-yang-tewas-kecelakaan-pesan-terakhir-ayah-kamari-ke-istri-bahas-maut,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,5400,2024-07-25,2024-07-31
makassar.tribunnews.com,Page,N/A,N/A,makassar.tribunnews.com/2022/06/29/ciri-ciri-wanita-yang-sudah-tidak-perawan-perhatikan-telapak-tangannya,Yes,Ads Disguised as Content;Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,5200,2024-07-25,2024-07-31
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/2024/07/25/cerita-abah-otong-ahli-terapi-kejantanan-pria-langganan-para-artis-tidak-sembarang-lakukan-terapi?source=kgnotif_1,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,4900,2024-07-25,2024-07-31
sultra.tribunnews.com,Page,N/A,N/A,sultra.tribunnews.com/2023/02/22/video-erika-viral-di-tiktok-dan-twitter-full-durasi-yang-dicari-carirekam-adegan-hingga-kamar-mandi,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,4800,2024-07-27,2024-07-31
jambi.tribunnews.com,Page,N/A,N/A,jambi.tribunnews.com/2019/12/04/lima-wanita-bintang-film-dewasa-paling-favorit-nomor-4-kategori-adegan-sesama-jenis-terbaik,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,4700,2024-07-25,2024-07-31
jogja.tribunnews.com,Page,N/A,N/A,jogja.tribunnews.com/2016/09/16/begini-kode-terapis-tawarkan-layanan-esek-esek-di-spa-plus,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,4700,2024-07-25,2024-07-31
jambi.tribunnews.com,Page,N/A,N/A,jambi.tribunnews.com/2020/12/19/daftar-6-film-miyabi-maria-ozawa-judul-irokoishi-sd-nilalang-yang-paling-santai,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,4400,2024-07-25,2024-07-31
m.tribunnews.com,Page,N/A,N/A,m.tribunnews.com/pendidikan/2021/07/16/kunci-jawaban-tema-1-kelas-6-sd-halaman-40-41-42-43-44-45-46-47-subtema-1-pembelajaran-4,Yes,Unnatural attention to ads,Restricted ad serving,ca-pub-7784034061253020,4400,2024-07-25,2024-07-31
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/2022/11/04/amalan-doa-kuat-dan-tahan-lama-khusus-suami-ketika-berhubungan-dengan-istri,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,4300,2024-07-25,2024-07-31
suryamalang.tribunnews.com,Page,N/A,N/A,suryamalang.tribunnews.com/2024/07/15/foto-puluhan-cewek-gresik-diedit-dengan-pose-telanjang-pelaku-punya-fantasi-seksual-agak-lain,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,4300,2024-07-25,2024-07-31
makassar.tribunnews.com,Page,N/A,N/A,makassar.tribunnews.com/2016/11/26/rugi-kalau-tak-tahu-inilah-arti-bo-st-lt-di-ucapan-terima-kasih-psk-kepada-anji-drive,Yes,Adult: Sexual content;Site Behavior: Navigation,Restricted ad serving,ca-pub-7784034061253020,4200,2024-07-25,2024-07-31
sumsel.tribunnews.com,Page,N/A,N/A,sumsel.tribunnews.com/2021/08/25/belajar-gitar-7-lagu-romantis-armada-dan-dewa-19-pakai-kunci-paling-mudah-cocok-bagi-pemula,Yes,Encouraging accidental clicks: Layout,Restricted ad serving,ca-pub-7784034061253020,4100,2024-07-25,2024-07-31
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/2023/06/06/dilarang-tayang-di-indonesia-5-anime-penuh-adegan-panas-18-tanpa-sensor,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3900,2024-07-25,2024-07-31
lampung.tribunnews.com,Page,N/A,N/A,lampung.tribunnews.com/2017/02/19/4-film-ini-disebut-punya-adegan-intim-paling-parah-dibanding-50-shades-of-grey,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3700,2024-07-25,2024-07-31
