Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/2025/01/07/12-film-jepang-penuh-adegan-dewasa-terbaik-sepanjang-masa-cocok-ditonton-bersama-pasangan,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,115000,2025-01-08,2025-01-14
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/2025/01/11/20-film-sensual-jepang-buat-pasangan-dewasa-yang-sudah-menikah-dilengkapi-sinopsis,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,27000,2025-01-10,2025-01-14
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/2020/10/12/5-posisi-bercinta-agar-perempuan-raih-kepuasan-wot-hingga-sideways-straddle,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,21000,2025-01-08,2025-01-14
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2025/01/14/hendak-cek-villa-di-buleleng-wanita-asal-jaksel-dirudapaksa-warlok-diancam-akan-dibunuh,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,14000,2025-01-14,2025-01-14
bogor.tribunnews.com,Page,N/A,N/A,bogor.tribunnews.com/2025/01/10/terkuak-kondisi-istri-usai-dibacok-suami-di-cilebut-bogor-korban-titip-pesan-bermakna-ke-tetangga,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,13000,2025-01-09,2025-01-14
bengkulu.tribunnews.com,Page,N/A,N/A,bengkulu.tribunnews.com/2025/01/10/curanmor-di-rejang-lebong-gagal-beraksi-embat-motor-warga-satu-pelaku-diamuk-massa,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,11000,2025-01-10,2025-01-12
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/2023/08/15/kumpulan-film-jepang-terbaru-2023-cocok-disaksikan-bagi-pasangan-yang-baru-menikah-khusus-dewasa,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,9200,2025-01-08,2025-01-14
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/01/14/mengenaskan-hasil-otopsi-sandy-permana-wajah-dan-tangan-ikut-disayat-pelaku-ditusuk-pakai-obeng,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,9000,2025-01-13,2025-01-14
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/01/15/hubungan-kesya-lestaluhu-dengan-oknum-tni-al-terkuak-tega-tusuk-27-kali-gegara-kesal-ke-korban?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,8400,2025-01-14,2025-01-14
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/01/01/2-lakalantas-maut-di-awal-tahun-2025-sekeluarga-tewas-di-pekanbaru-dan-laga-kambing-di-jaksel?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,8100,2025-01-08,2025-01-14
