Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/2025/02/07/10-film-semi-jepang-tanpa-sensor-khusus-ditonton-orang-dewasa,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,171000,2025-02-10,2025-02-16
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/2025/01/07/12-film-jepang-penuh-adegan-dewasa-terbaik-sepanjang-masa-cocok-ditonton-bersama-pasangan,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,77000,2025-02-10,2025-02-16
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2025/02/14/dampak-efisiensi-anggaran-mulai-terasa-kantor-pemerintah-di-semarang-lebih-gelap,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,17000,2025-02-14,2025-02-16
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/2025/02/07/10-film-semi-jepang-tanpa-sensor-khusus-ditonton-orang-dewasa?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,7800,2025-02-10,2025-02-16
batam.tribunnews.com,Page,N/A,N/A,batam.tribunnews.com/2025/02/13/pria-yang-disekap-dua-wanita-di-bali-disiksa-tanpa-ampun-tubuh-distrika-kepala-dipukul-botol,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,7500,2025-02-13,2025-02-15
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/2025/01/07/12-film-jepang-penuh-adegan-dewasa-terbaik-sepanjang-masa-cocok-ditonton-bersama-pasangan?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,6700,2025-02-10,2025-02-16
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2025/02/12/polres-sabang-amankan-4-pelaku-pencurian-mobil-dan-33-helai-baju-diamankan,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,6500,2025-02-14,2025-02-16
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2025/02/14/jasad-bayi-perempuan-akhirnya-dikremasi-hadirpara-pejabat-bangli-polisi-sebut-masih-dalami-kasus,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,5500,2025-02-14,2025-02-16
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2025/02/11/alasan-pak-guru-honorer-meminta-foto-seksi-siswi-sma-terungkap-kini-dipecat,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,5300,2025-02-11,2025-02-15
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2025/02/14/ayah-mertua-bacok-menantu-hingga-tewas-di-langkat-cekcok-saat-dinasehati-agar-tidak-pakai-narkoba,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,4900,2025-02-14,2025-02-16
bogor.tribunnews.com,Page,N/A,N/A,bogor.tribunnews.com/2025/02/01/kondisi-rohadi-mapala-uhamka-saat-ditemukan-di-gunung-joglo-bogor-posisi-tubuhnya-telungkup?utm_source=pushnotif?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,4800,2025-02-10,2025-02-15
jambi.tribunnews.com,Page,N/A,N/A,jambi.tribunnews.com/2018/02/22/2-kategori-dan-49-istilah-yang-sering-digunakan-di-film-biru,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,4700,2025-02-10,2025-02-16
sultra.tribunnews.com,Page,N/A,N/A,sultra.tribunnews.com/2023/04/19/video-syakirah-viral-di-tiktok-dan-twitter-kini-16-link-full-videonya-diburu-warganet-sosok-pemeran,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3900,2025-02-10,2025-02-16
m.tribunnews.com,Page,N/A,N/A,m.tribunnews.com/topic/Konflik-Palestina-Vs-Israel,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3800,2025-02-10,2025-02-14
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/2025/01/07/12-film-jepang-penuh-adegan-dewasa-terbaik-sepanjang-masa-cocok-ditonton-bersama-pasangan?page=3,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3500,2025-02-10,2025-02-16
sumsel.tribunnews.com,Page,N/A,N/A,sumsel.tribunnews.com/2025/02/14/sadisnya-alfiyanto-bunuh-anak-pacarnya-lalu-dikubur-di-kebun-kopi-dada-korban-dipukul-berkali-kali,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,3500,2025-02-14,2025-02-14
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/amp/2025/02/07/10-film-semi-jepang-tanpa-sensor-khusus-ditonton-orang-dewasa,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3200,2025-02-10,2025-02-16
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/2025/02/07/10-film-semi-jepang-tanpa-sensor-khusus-ditonton-orang-dewasa?page=3,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3000,2025-02-10,2025-02-16
style.tribunnews.com,Page,N/A,N/A,style.tribunnews.com/2022/11/04/5-rekomendasi-anime-erotis-tanpa-sensor-penuh-dengan-adegan-syur-ada-serial-high-school-dxd,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2900,2025-02-10,2025-02-16
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/2025/01/07/12-film-jepang-penuh-adegan-dewasa-terbaik-sepanjang-masa-cocok-ditonton-bersama-pasangan?page=4,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2800,2025-02-10,2025-02-16
