Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
trends.tribunnews.com,Page,N/A,N/A,trends.tribunnews.com/2024/12/04/video-syur-mirip-onic-vior-15-menit-viral-link-rekaman-diburu-begini-awal-mula-viral-di-x-twitter,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,121000,2024-12-11,2024-12-17
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/12/12/viral-dokter-koas-dipukuli-pelaku-sopir-pribadi-dari-istri-oknum-pejabat-di-kalimantan-barat,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,62000,2024-12-12,2024-12-17
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/12/09/nasib-siswa-sma-cibitung-viralkan-sekolah-pungli-rp25-juta-untuk-urug-tanah-terancam-dikeluarkan,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,53000,2024-12-11,2024-12-17
www.tribunnews.com,Page,N/A,N/A,www.tribunnews.com/regional/2024/12/10/ngamuk-sering-diejek-rudi-tikam-3-anak-tetangga-di-deliserdang-bayi-15-tahun-tewas-mengenaskan,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,11000,2024-12-11,2024-12-17
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/12/07/14-daerah-yang-sudah-cair-bansos-pkh-desember-2024-segera-cek-daftar-penerima?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,11000,2024-12-14,2024-12-17
surabaya.tribunnews.com,Page,N/A,N/A,surabaya.tribunnews.com/2024/12/12/gelagat-penjual-cilok-surabaya-diduga-tak-amanah-usai-dapat-donasi-santai-dan-tak-merasa-bersalah,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,10000,2024-12-13,2024-12-15
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/12/06/israel-makin-brutal-membabi-buta-bombardir-rs-kamal-adwan-usir-paksa-para-dokter-di-gaza-utara?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,10000,2024-12-13,2024-12-17
pekanbaru.tribunnews.com,Page,N/A,N/A,pekanbaru.tribunnews.com/2024/12/06/kepala-cucu-diterkam-buaya-saat-cuci-kaki-nenek-di-tanah-merah-inhil-riau-histeris?source=kgnotif_1,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,10000,2024-12-13,2024-12-17
palembang.tribunnews.com,Page,N/A,N/A,palembang.tribunnews.com/2024/12/07/viral-pelaku-cabul-di-sukabangun-palembang-tewas-diamuk-massa-usai-rudapaksa-remaja-di-masjid?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,9700,2024-12-14,2024-12-17
jatim.tribunnews.com,Page,N/A,N/A,jatim.tribunnews.com/2024/12/12/dulu-nganggur-kini-sukses-jadi-petani-muda-marwan-bisa-dapat-rp15-juta-sehari-pakai-sistem-modern?page=4,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,9400,2024-12-12,2024-12-15
