Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/2024/08/11/video-viral-erika-putri-dan-ojol-8-menit-blunder-masih-dicari-si-selebgram-respons-santai,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,33000,2024-08-15,2024-08-20
sulbar.tribunnews.com,Page,N/A,N/A,sulbar.tribunnews.com/2024/08/19/full-hd-tanpa-sensor-akses-video-viral-yandex-com-terbaru-senin-19-agustus-2024-ikuti-7-cara-ini,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,32000,2024-08-18,2024-08-20
m.tribunnews.com,Page,N/A,N/A,m.tribunnews.com/regional/2024/08/15/4-fakta-mama-muda-live-tiktok-berhubungan-intim-dengan-pria-lain-motif-ingin-buat-suami-cemburu,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,18000,2024-08-15,2024-08-18
sulbar.tribunnews.com,Page,N/A,N/A,sulbar.tribunnews.com/2024/08/16/full-hd-tanpa-sensor-7-cara-gratis-akses-video-viral-yandex-com-jumat-16-agustus-2024,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,15000,2024-08-20,2024-08-20
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/08/17/viral-tulisan-tangan-diduga-buku-harian-mahasiswi-ppds-undip-tewas-di-kos-tuhan-aku-sakit?page=3,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,12000,2024-08-17,2024-08-20
kupang.tribunnews.com,Page,N/A,N/A,kupang.tribunnews.com/2017/12/09/tanpa-sensor-para-pemain-di-lima-film-ini-benar-benar-lakukan-adegan-ranjang-di-depan-kamera,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,12000,2024-08-14,2024-08-20
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/08/08/4-tips-mengatasi-haid-tak-lancar-yang-bisa-dilakukan-di-rumah-simak-saran-seksolog-dr-boyke,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,11000,2024-08-14,2024-08-18
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/08/20/awal-mula-malvin-aniaya-istri-di-tangerang-tubuh-vv-disundut-rokok-hingga-ditusuk-gunting,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,10000,2024-08-20,2024-08-20
jatim.tribunnews.com,Page,N/A,N/A,jatim.tribunnews.com/2024/08/15/pacaran-8-tahun-wanita-hancur-calon-suami-selingkuh-dengan-ibunya-sang-adik-ternyata-anak-mereka?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,10000,2024-08-16,2024-08-20
surabaya.tribunnews.com,Page,N/A,N/A,surabaya.tribunnews.com/2024/08/18/sosok-serda-arik-babinsa-di-bojonegoro-yang-nekat-panjat-tiang-bendera-saat-upacara-hut-ke-79-ri?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,9500,2024-08-18,2024-08-20
sultra.tribunnews.com,Page,N/A,N/A,sultra.tribunnews.com/2023/02/20/video-erika-viral-di-tiktok-prank-ojol-full-1-menit-31-detik-awalnya-masuk-rumah-lalu-kamar-mandi,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,9100,2024-08-14,2024-08-20
