Site or app,Entity,Platform,App package name or store ID,Issue location,Issue type,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
tribunnews.com,Site,N/A,N/A,tribunnews.com,Advertiser preference,Video audibility misdeclaration,Restricted ad serving,ca-video-pub-7784034061253020,89000000,2025-06-20,2025-06-26
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/404,Advertiser preference;Policy issue,Adult: Sexual content;Google-served ads on screens without publisher-content,Restricted ad serving,ca-pub-7784034061253020,13000,2025-06-19,2025-06-25
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2025/06/18/sosok-pelaku-pembacokan-yang-tewaskan-5-orang-sekeluarga-di-aceh-tenggara-1-korban-masih-balita,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,6200,2025-06-19,2025-06-25
makassar.tribunnews.com,Page,N/A,N/A,makassar.tribunnews.com/2025/06/06/viral-polisi-gerebek-judi-sabung-ayam-di-gowa-pelaku-kocar-kacir-hingga-loncat-ke-danau-mawang?source=kgnotif_1,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,5700,2025-06-19,2025-06-25
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/06/25/baru-6-bulan-menikah-istri-gugat-cerai-setelah-temukan-obat-hiv-di-tas-suaminya,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3100,2025-06-25,2025-06-25
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/2025/01/07/12-film-jepang-penuh-adegan-dewasa-terbaik-sepanjang-masa-cocok-ditonton-bersama-pasangan?page=4,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2900,2025-06-19,2025-06-24
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/2024/08/08/video-viral-erika-blunder-8-menit-prank-ojol-apa-isinya-klarifikasi-dan-faktasebenarnya,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2600,2025-06-19,2025-06-25
jambi.tribunnews.com,Page,N/A,N/A,jambi.tribunnews.com/2018/02/22/2-kategori-dan-49-istilah-yang-sering-digunakan-di-film-biru,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2600,2025-06-19,2025-06-25
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/amp/2025/01/07/12-film-jepang-penuh-adegan-dewasa-terbaik-sepanjang-masa-cocok-ditonton-bersama-pasangan,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2400,2025-06-19,2025-06-25
makassar.tribunnews.com,Page,N/A,N/A,makassar.tribunnews.com/2025/06/25/kaca-toko-roboh-saat-berburu-diskon-di-bone-pembeli-alami-luka-berat,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2200,2025-06-25,2025-06-25
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/06/25/suami-bawa-selingkuhan-ke-rumah-aksi-balas-dendam-sang-istri-bikin-keduanya-sangat-malu,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,1900,2025-06-25,2025-06-25
suryamalang.tribunnews.com,Page,N/A,N/A,suryamalang.tribunnews.com/2025/06/04/trauma-bocah-5-kali-operasi-gegara-kelamin-terpotong-saat-sunat-laser-perawat-dilaporkan-polisi?source=kgnotif_1,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,1200,2025-06-19,2025-06-25
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/2024/08/15/biodata-erika-putri-sosoknya-viral-gegara-video-blunder-8-menit-prank-ojol,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,1100,2025-06-19,2025-06-25
trends.tribunnews.com,Page,N/A,N/A,trends.tribunnews.com/2023/12/07/apa-arti-pijat-plus-plus-istilah-viral-tiktok-sering-muncul-dalam-bahasa-gaul-ini-maknanya,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,1100,2025-06-19,2025-06-25
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/06/26/bos-perusahaan-ceraikan-istri-demi-menikah-dengan-sekretarisnya-berakhir-diselingkuhi-balik,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,1100,2025-06-25,2025-06-25
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/06/18/sadis-pembacokan-berantai-di-aceh-tenggara-5-orang-sekeluarga-tewas-pelaku-masih-diburu-polisi,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,1000,2025-06-19,2025-06-25
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/2017/09/14/bertobat-pemeran-tarzan-x-tinggalkan-film-biru-setelah-banyak-merenung?page=all,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,1000,2025-06-19,2025-06-25
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/06/10/kondisi-terkini-dua-penjambret-yang-tewaskan-rindy-liviani-di-siantar-satu-tak-sadarkan-diri?page=2,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,1000,2025-06-20,2025-06-23
kupang.tribunnews.com,Page,N/A,N/A,kupang.tribunnews.com/2019/09/16/26-tanda-wanita-mempermainkan-perasaanmu-nomor-8-10-23-25-dan-26-bikin-baper,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,851,2025-06-19,2025-06-25
jogja.tribunnews.com,Page,N/A,N/A,jogja.tribunnews.com/2023/05/28/arti-tahi-lalat-di-pantat-kiri-atau-kanan-menurut-primbon-jawa-konon-pertanda-kurang-baik,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,850,2025-06-19,2025-06-25
batam.tribunnews.com,Page,N/A,N/A,batam.tribunnews.com/2025/06/16/breaking-news-kecelakaan-maut-di-batam-tewaskan-pemotor-saksi-mata-ungkap-kronologisnya,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,833,2025-06-19,2025-06-24
surabaya.tribunnews.com,Page,N/A,N/A,surabaya.tribunnews.com/2025/06/21/kronologi-fortuner-remuk-kecelakaan-di-jembatan-suramadu-bodi-mobil-nyaris-tak-berbentuk,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,804,2025-06-21,2025-06-24
lampung.tribunnews.com,Page,N/A,N/A,lampung.tribunnews.com/2018/08/04/kasus-video-porno-luna-maya-dan-cut-tari-ternyata-menggantung,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,768,2025-06-19,2025-06-25
jambi.tribunnews.com,Page,N/A,N/A,jambi.tribunnews.com/2018/01/18/perhatikan-ini-ciri-wanita-yang-sering-melakukan-masturbasi-7-tanda-ini-bakal-mengungkapkannya,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,767,2025-06-19,2025-06-25
lampung.tribunnews.com,Page,N/A,N/A,lampung.tribunnews.com/2025/06/25/wanita-di-bandar-lampung-dituntut-3-tahun-penjara-atas-kasus-penipuan-berkedok-investasi-bodong,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,712,2025-06-25,2025-06-25
pontianak.tribunnews.com,Page,N/A,N/A,pontianak.tribunnews.com/2018/01/28/inilah-7-ciri-wanita-kecanduan-masturbasi-7-persen-cewek-melakukannya-setiap-hari,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,690,2025-06-19,2025-06-25
surabaya.tribunnews.com,Page,N/A,N/A,surabaya.tribunnews.com/404,Policy issue,Google-served ads on screens without publisher-content,Restricted ad serving,ca-pub-7784034061253020,688,2025-06-19,2025-06-25
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/06/25/suami-bawa-selingkuhan-ke-rumah-aksi-balas-dendam-sang-istri-bikin-keduanya-sangat-malu?page=2,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,669,2025-06-25,2025-06-25
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/06/25/pengantin-wanita-kabur-dengan-sepupusebelum-upacara-digelar-mempelai-pria-tak-batalkan-pernikahan,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,647,2025-06-25,2025-06-25
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/2024/08/11/video-viral-erika-putri-dan-ojol-8-menit-blunder-masih-dicari-si-selebgram-respons-santai,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,627,2025-06-19,2025-06-24
sultra.tribunnews.com,Page,N/A,N/A,sultra.tribunnews.com/2023/02/20/video-erika-viral-di-tiktok-prank-ojol-full-1-menit-31-detik-awalnya-masuk-rumah-lalu-kamar-mandi,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,608,2025-06-19,2025-06-23
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/05/28/kisah-bocah-korban-salah-sunat-kemaluannya-terpotong-pakai-laser-bupati-marah-suruh-lapor-polisi,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,580,2025-06-19,2025-06-24
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/news/internasional,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,551,2025-06-19,2025-06-25
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/06/26/pengantin-pria-murka-dan-robek-kerudung-calon-istrinya-buntut-kesal-diminta-uang-tambahan,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,548,2025-06-25,2025-06-25
jatim.tribunnews.com,Page,N/A,N/A,jatim.tribunnews.com/2025/06/12/pendapatan-rp-30-juta-sebulan-abdul-dan-aji-pasang-teralis-di-toko-sembako-warga-curiga-bisnisnya?page=4,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,547,2025-06-19,2025-06-25
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/06/25/baru-6-bulan-menikah-istri-gugat-cerai-setelah-temukan-obat-hiv-di-tas-suaminya?page=2,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,534,2025-06-25,2025-06-25
lampung.tribunnews.com,Page,N/A,N/A,lampung.tribunnews.com/2015/12/04/astaga-kasus-hubungan-intim-antara-manusia-dengan-kuda-meningkat-di-swiss,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,528,2025-06-19,2025-06-25
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/06/25/keluarga-mempelai-wanita-berusaha-culik-pengantin-di-pernikahan-dan-serang-tamu-dengan-bubuk-cabai?page=2,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,517,2025-06-25,2025-06-25
surabaya.tribunnews.com,Page,N/A,N/A,surabaya.tribunnews.com/2023/08/15/download-templet-undangan-tahlil-gratis-bisa-diedit,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,516,2025-06-24,2025-06-25
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/06/26/bos-perusahaan-ceraikan-istri-demi-menikah-dengan-sekretarisnya-berakhir-diselingkuhi-balik?page=2,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,516,2025-06-25,2025-06-25
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2025/04/10/link-video-asli-bu-guru-salsa-viral-lagi-ini-fakta-sebenarnya,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,516,2025-06-22,2025-06-23
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/2016/01/27/begini-cara-mengamankan-akun-facebook-dari-konten-porno,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,516,2025-06-19,2025-06-25
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/2020/10/12/5-posisi-bercinta-agar-perempuan-raih-kepuasan-wot-hingga-sideways-straddle?page=all,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,497,2025-06-19,2025-06-25
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2025/06/18/sosok-pelaku-pembacokan-yang-tewaskan-5-orang-sekeluarga-di-aceh-tenggara-1-korban-masih-balita?page=2,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,491,2025-06-19,2025-06-25
jambi.tribunnews.com,Page,N/A,N/A,jambi.tribunnews.com/2017/09/19/hati-hati-posisi-bercinta-ini-dapat-merusak-mr-p-anda,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,490,2025-06-19,2025-06-25
jambi.tribunnews.com,Page,N/A,N/A,jambi.tribunnews.com/2018/02/22/2-kategori-dan-49-istilah-yang-sering-digunakan-di-film-biru?page=all,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,489,2025-06-19,2025-06-25
jambi.tribunnews.com,Page,N/A,N/A,jambi.tribunnews.com/2019/10/02/berikut-foto-30-gadis-jepang-yang-sering-pamerkan-bagian-dalam-tubuhnya-meski-pakai-baju-transparan,Advertiser preference,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,462,2025-06-19,2025-06-25
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/2022/04/04/inilah-daftar-harga-rokok-di-indomaret-april-2022-gudang-garam-merah-rp14000?page=all,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,458,2025-06-19,2025-06-25
makassar.tribunnews.com,Page,N/A,N/A,makassar.tribunnews.com/2017/12/10/si-wanita-cantik-masuk-toilet-lalu-lepas-baju-dan-celana-hal-tak-disangka-pun-terjadi,Policy issue,Ads Disguised as Content,Restricted ad serving,ca-pub-7784034061253020,456,2025-06-19,2025-06-25
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2025/06/18/sosok-pelaku-pembacokan-yang-tewaskan-5-orang-sekeluarga-di-aceh-tenggara-1-korban-masih-balita?page=4,Advertiser preference,Shocking content,Restricted ad serving,ca-pub-7784034061253020,445,2025-06-19,2025-06-25
