Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
sulbar.tribunnews.com,Page,N/A,N/A,sulbar.tribunnews.com/2024/08/16/full-hd-tanpa-sensor-7-cara-gratis-akses-video-viral-yandex-com-jumat-16-agustus-2024,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,35000,2024-09-18,2024-09-24
sulbar.tribunnews.com,Page,N/A,N/A,sulbar.tribunnews.com/2024/09/18/yuk-tonton-video-viral-yandex-com-update-rabu-18-september-2024-full-hd-tanpa-sensor,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,31000,2024-09-18,2024-09-24
bengkulu.tribunnews.com,Page,N/A,N/A,bengkulu.tribunnews.com/2024/09/19/kondisi-korban-pengeroyokan-berujung-congkel-mata-di-acara-komunitas-vespa-di-gunung-putri-bogor,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,26000,2024-09-18,2024-09-24
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020;ca-video-pub-7784034061253020,26000,2024-09-24,2024-09-24
sulbar.tribunnews.com,Page,N/A,N/A,sulbar.tribunnews.com/2024/09/24/nonton-video-viral-yandex-com-gratis-tanpa-sensor-selasa-24-september-2024,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,22000,2024-09-23,2024-09-24
jabar.tribunnews.com,Page,N/A,N/A,jabar.tribunnews.com/2024/09/19/viral-video-ngerinya-pengeroyokan-di-gunung-putri-bogor-masalah-wanita-dua-mata-korban-dicongkel,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,20000,2024-09-18,2024-09-24
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/09/22/sosok-emi-duduki-kepala-bocah-perempuan-di-lebak-banten-pukul-korban-hingga-tewas-ngarep-rp50-juta,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,16000,2024-09-22,2024-09-24
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/09/21/7-cara-gampang-nonton-video-viral-yandex-ru-yandex-browser-jepang-filipina-streaming-gak-perlu-vpn,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,11000,2024-09-20,2024-09-24
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/09/12/7-cara-gampang-nonton-yandex-browser-jepang-video-film-viral-terbaru-thailand-gak-perlu-vpn,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,11000,2024-09-18,2024-09-24
kupang.tribunnews.com,Page,N/A,N/A,kupang.tribunnews.com/2017/12/09/tanpa-sensor-para-pemain-di-lima-film-ini-benar-benar-lakukan-adegan-ranjang-di-depan-kamera,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,10000,2024-09-18,2024-09-24
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/2024/09/23/emi-pembunuh-bocah-aqila-di-banten-diimingi-50-juta-sarankan-bakar-jasadnya,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,9500,2024-09-22,2024-09-24
sulbar.tribunnews.com,Page,N/A,N/A,sulbar.tribunnews.com/2024/09/03/tontonan-gratis-video-viral-yandex-com-full-hd-tanpa-sensor-update-selasa-3-september-2024,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,7200,2024-09-18,2024-09-24
