Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/08/02/solusi-mudah-mengatasi-keputihan-menggumpal-seperti-tepung-simak-penjelasan-seksolog-dr-boyke,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,132000,2024-08-01,2024-08-06
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/08/01/3-celurit-dibeli-pelaku-niat-habisi-nyawa-mangku-tawan-hubungan-asmara-diketahui-usai-sadap-wa,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,131000,2024-08-01,2024-08-04
jatim.tribunnews.com,Page,N/A,N/A,jatim.tribunnews.com/,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020;ca-video-pub-7784034061253020,92000,2024-08-04,2024-08-04
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/08/02/solusi-mudah-mengatasi-keputihan-menggumpal-seperti-tepung-simak-penjelasan-seksolog-dr-boyke?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,59000,2024-08-01,2024-08-06
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/08/02/terungkap-saat-hari-pembunuhan-mangku-tawan-di-kintamani-bangli-istri-pelaku-ucap-sukseme?page=3,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,36000,2024-08-01,2024-08-05
sultra.tribunnews.com,Page,N/A,N/A,sultra.tribunnews.com/2023/02/20/video-erika-viral-di-tiktok-prank-ojol-full-1-menit-31-detik-awalnya-masuk-rumah-lalu-kamar-mandi,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,36000,2024-07-31,2024-08-06
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/08/01/3-celurit-dibeli-pelaku-niat-habisi-nyawa-mangku-tawan-hubungan-asmara-diketahui-usai-sadap-wa?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,32000,2024-08-01,2024-08-04
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/08/01/kronologi-mangku-tawan-dibacok-hingga-tewas-di-kintamani-bangli-berawal-kloning-whatsapp-istri?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,32000,2024-07-31,2024-08-04
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/08/02/terungkap-saat-hari-pembunuhan-mangku-tawan-di-kintamani-bangli-istri-pelaku-ucap-sukseme?page=4,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,26000,2024-08-01,2024-08-05
makassar.tribunnews.com,Page,N/A,N/A,makassar.tribunnews.com/2024/08/05/viral-video-detik-detik-pemotor-di-toddopuli-10-makassar-nyaris-dibegal-di-depan-rumahnya?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,19000,2024-08-04,2024-08-06
