Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/09/26/inilah-sosok-wanita-cantik-perekam-adegan-syur-guru-dan-siswi-biar-kapok-istri-tahu?source=kgnotif_1,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,97000,2024-09-27,2024-10-02
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/10/02/viral-6-pasutri-pakai-jasa-tukar-pasangan-digrebek-ramai-ramai-tanpa-busana-bayar-rp16-juta,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,30000,2024-10-01,2024-10-02
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/09/26/asmara-guru-dan-murid-dalam-video-syur-terjalin-sejak-2022-pertama-kali-hubungan-badan-di-sekolah,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,24000,2024-09-26,2024-10-02
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/09/26/inilah-sosok-wanita-cantik-perekam-adegan-syur-guru-dan-siswi-biar-kapok-istri-tahu,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,19000,2024-09-26,2024-10-02
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/09/26/inilah-sosok-wanita-cantik-perekam-adegan-syur-guru-dan-siswi-biar-kapok-istri-tahu?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,18000,2024-09-26,2024-10-02
palembang.tribunnews.com,Page,N/A,N/A,palembang.tribunnews.com/,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,16000,2024-10-01,2024-10-02
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/09/25/kondisi-siti-syamsiah-lansia-yang-diserang-anak-perempuannya-pakai-parang-luka-sekujur-tubuh,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,14000,2024-09-26,2024-10-02
sulbar.tribunnews.com,Page,N/A,N/A,sulbar.tribunnews.com/2024/08/16/full-hd-tanpa-sensor-7-cara-gratis-akses-video-viral-yandex-com-jumat-16-agustus-2024,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,12000,2024-09-26,2024-10-02
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/10/02/kronologi-kasus-penebasan-viral-di-buleleng-berawal-dari-pemukulan-hingga-berakhir-penusukan-pedang,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,12000,2024-10-02,2024-10-02
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/09/26/inilah-sosok-wanita-cantik-perekam-adegan-syur-guru-dan-siswi-biar-kapok-istri-tahu?page=4,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,11000,2024-09-26,2024-09-30
suryamalang.tribunnews.com,Page,N/A,N/A,suryamalang.tribunnews.com/,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,10000,2024-09-30,2024-10-02
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/10/02/syoknya-ikang-fawzi-marissa-haque-meninggal-dunia-saat-tidur-tak-ada-gejala-sempat-kumpul-keluarga,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,9600,2024-10-01,2024-10-01
bengkulu.tribunnews.com,Page,N/A,N/A,bengkulu.tribunnews.com/2024/09/25/kondisi-ibu-kandung-dibacok-anaknya-di-makassar-selamat-meski-luka-sekujur-tubuh,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,9400,2024-09-26,2024-09-30
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/2024/04/12/kunci-jawaban-ipa-kelas-9-smp-halaman-44-kurikulum-merdeka-kontrasepsi-dan-kesehatan-reproduksi,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,9400,2024-09-27,2024-10-01
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/topic/video-syur-guru-dan-murid,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,9200,2024-09-26,2024-10-02
makassar.tribunnews.com,Page,N/A,N/A,makassar.tribunnews.com/2024/09/23/breaking-news-warga-bonelemo-luwu-sulsel-nyaris-dimangsa-ular-piton-badan-dililit-hingga-leher?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,9100,2024-09-26,2024-10-02
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/10/03/slamet-kalah-duel-di-buleleng-ususnya-terburai-suarjana-ambil-pedang-lalu-tikam-lawannya,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,9100,2024-10-02,2024-10-02
batam.tribunnews.com,Page,N/A,N/A,batam.tribunnews.com/2024/10/02/enam-pasutri-ditangkap-tanpa-busana-sengaja-sewa-villa-untuk-pesta-berganti-suami,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,7900,2024-10-02,2024-10-02
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/09/25/tak-terima-disuruh-wanita-di-makassar-tega-lukai-ibu-kandung-pakai-parang-korban-nyaris-tewas,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,7800,2024-09-26,2024-10-02
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/09/28/tangis-pilu-niken-ayahnya-diduga-diculik-disiksa-diikat-digantung-dan-disirami-oli-hingga-tewas,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,7500,2024-09-28,2024-10-01
batam.tribunnews.com,Page,N/A,N/A,batam.tribunnews.com/2024/10/02/peserta-pesta-tukar-pasangan-rata-rata-suami-istri-puas-lihat-suami-dengan-wanita-lain,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,7000,2024-10-02,2024-10-02
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/10/02/sadisnya-pria-ini-multilasi-badan-pacar-hingga-59-bagian-potongan-tubuh-disimpan-di-kulkas,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,6600,2024-10-01,2024-10-02
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/09/26/asmara-guru-dan-murid-dalam-video-syur-terjalin-sejak-2022-pertama-kali-hubungan-badan-di-sekolah?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,6500,2024-09-26,2024-09-30
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/10/01/kisah-pilu-nurlela-tkw-yang-disekap-dan-disiksa-4-tahun-kerja-di-arab-saudi-begini-nasib-pelaku,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,6200,2024-10-01,2024-10-02
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/2024/08/08/video-viral-erika-blunder-8-menit-prank-ojol-apa-isinya-klarifikasi-dan-faktasebenarnya,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,5400,2024-09-26,2024-10-02
banten.tribunnews.com,Page,N/A,N/A,banten.tribunnews.com/,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,5400,2024-10-01,2024-10-02
palu.tribunnews.com,Page,N/A,N/A,palu.tribunnews.com/,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020;ca-video-pub-7784034061253020,5200,2024-09-30,2024-10-01
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/10/03/slamet-kalah-duel-di-buleleng-ususnya-terburai-suarjana-ambil-pedang-lalu-tikam-lawannya?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,4300,2024-10-02,2024-10-02
jatim.tribunnews.com,Page,N/A,N/A,jatim.tribunnews.com/2024/09/26/pengakuan-ketua-rt-soal-viral-pengurus-masjid-di-kartasura-usir-jemaah-ini-kata-kemenag-sukoharjo?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,4300,2024-09-26,2024-10-02
surabaya.tribunnews.com,Page,N/A,N/A,surabaya.tribunnews.com/2024/10/02/sosok-dan-tabiat-cewek-asal-ende-begal-driver-taksi-online-di-surabaya-aksinya-terinspirasi-film?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,4200,2024-10-02,2024-10-02
papua.tribunnews.com,Page,N/A,N/A,papua.tribunnews.com/,No,Adult: Sexual content;Shocking content,Restricted ad serving,ca-pub-7784034061253020,4100,2024-09-30,2024-10-02
jakarta.tribunnews.com,Page,N/A,N/A,jakarta.tribunnews.com/2024/10/02/3-fakta-santri-di-aceh-disiram-air-cabai-oleh-istri-pimpinan-ponpes-menjerit-jerit-dalam-bak-mandi,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,4000,2024-10-02,2024-10-02
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2022/09/15/istri-perlu-tahu-begini-cara-puaskan-suami-jika-sedang-haid-jangan-biarkan-pasangan-anda-buat-dosa,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,4000,2024-09-26,2024-10-02
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/09/25/7-fakta-video-syur-guru-dan-murid-di-gorontalo-hubungan-asmara-sejak-2022-pak-guru-jadi-tersangka,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3900,2024-09-26,2024-09-30
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/2023/06/06/dilarang-tayang-di-indonesia-5-anime-penuh-adegan-panas-18-tanpa-sensor,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3900,2024-09-26,2024-10-02
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/10/02/kronologi-kasus-penebasan-viral-di-buleleng-berawal-dari-pemukulan-hingga-berakhir-penusukan-pedang?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,3900,2024-10-02,2024-10-02
batam.tribunnews.com,Page,N/A,N/A,batam.tribunnews.com/2024/10/02/6-pria-bebas-tiduri-istri-teman-saat-ikut-pesta-tukar-pasangan-di-vila-kota-batu-jawa-timur,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3700,2024-10-02,2024-10-02
banjarmasin.tribunnews.com,Page,N/A,N/A,banjarmasin.tribunnews.com/2024/10/02/kisah-pilu-tkw-asal-karawang-dianiaya-di-arab-saudi-ditendang-hingga-disetrika-luka-sekujur-tubuh,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,3500,2024-10-01,2024-10-02
jatim.tribunnews.com,Page,N/A,N/A,jatim.tribunnews.com/2024/08/27/bagaimana-cara-edit-foto-jadi-video-pelukan-gratis-pakai-ai-di-vidu-studio-viral-di-tiktok,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3300,2024-09-27,2024-10-02
