Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/08/12/hizbullah-serang-habis-habisan-israel-zionis-tak-kuat-hadapi-as-buru-buru-kerahkan-alutsista?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,775000,2024-08-11,2024-08-13
jatim.tribunnews.com,Page,N/A,N/A,jatim.tribunnews.com/,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020;ca-video-pub-7784034061253020,131000,2024-08-12,2024-08-13
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/08/12/hizbullah-serang-habis-habisan-israel-zionis-tak-kuat-hadapi-as-buru-buru-kerahkan-alutsista?page=4,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,114000,2024-08-12,2024-08-12
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/08/08/4-tips-mengatasi-haid-tak-lancar-yang-bisa-dilakukan-di-rumah-simak-saran-seksolog-dr-boyke?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,62000,2024-08-08,2024-08-13
surabaya.tribunnews.com,Page,N/A,N/A,surabaya.tribunnews.com/,No,Adult: Sexual content,Restricted ad serving,ca-video-pub-7784034061253020,46000,2024-08-12,2024-08-12
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/08/13/detik-detik-cut-intan-nabila-dipukul-suami-berkali-kali-hingga-bayi-ditendang-polisi-cek-tkp,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,40000,2024-08-13,2024-08-13
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/08/12/iptu-rudiana-akui-kasus-vina-cirebon-sebenarnya-kecelakaan-tanda-tangan-rumah-sakit-jadi-bukti,No,Adult: Sexual content;Shocking content,Restricted ad serving,ca-pub-7784034061253020,34000,2024-08-12,2024-08-13
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/08/11/gaza-terkini-cari-hamas-israel-keluarkan-perintah-baru-agar-warga-sipil-palestina-mengungsi-lagi?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,32000,2024-08-10,2024-08-13
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/08/12/sosok-fransiskus-marbun-teman-eky-bongkar-pengakuan-iptu-rudiana-jujur-soal-kasus-vina-kecelakaan?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,29000,2024-08-12,2024-08-13
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/08/11/roket-katyusha-hizbulllah-serang-irone-dome-israel-pangkalan-militer-branit-dihujani-rudal-burkan?page=3,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,24000,2024-08-11,2024-08-11
