Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
m.tribunnews.com,Page,N/A,N/A,m.tribunnews.com/regional/2024/11/26/akp-dadang-tembak-kepala-juniornya-eks-kabareskrim-tembakan-di-kepala-bukan-sengaja-niat-membunuh,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,2400000,2024-11-27,2024-12-03
m.tribunnews.com,Page,N/A,N/A,m.tribunnews.com/nasional/2024/11/30/nasdem-ungkap-alasan-tolak-usulan-pdip-agar-polri-dikembalikan-di-bawah-tni-atau-kemendagri,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,164000,2024-11-29,2024-12-02
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/11/22/warga-pati-ngaliyan-korban-tewas-kecelakaan-di-silayur-hendrik-trauma-nyaris-diseruduk-trailer?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,61000,2024-11-27,2024-12-03
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/11/30/wanita-fm-di-gresik-masih-punya-suami-layani-pria-bule-belgia-malah-gagang-obeng-turut-dimasukkan,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,45000,2024-11-30,2024-12-02
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/2024/11/29/pelaku-pembunuhan-istri-dan-anak-di-pangkalpinang-dilarikan-ke-rumah-sakit-usai-ditangkap-polisi,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,34000,2024-11-29,2024-12-02
www.tribunnews.com,Page,N/A,N/A,www.tribunnews.com/regional/2024/11/26/akp-dadang-tembak-kepala-juniornya-eks-kabareskrim-tembakan-di-kepala-bukan-sengaja-niat-membunuh,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,28000,2024-11-27,2024-12-02
m.tribunnews.com,Page,N/A,N/A,m.tribunnews.com/regional/2024/11/26/akp-dadang-tembak-kepala-juniornya-eks-kabareskrim-tembakan-di-kepala-bukan-sengaja-niat-membunuh?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,26000,2024-11-29,2024-12-03
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/404,Yes,Google-served ads on screens without publisher-content,Restricted ad serving,ca-pub-7784034061253020,13000,2024-11-27,2024-12-02
belitung.tribunnews.com,Page,N/A,N/A,belitung.tribunnews.com/2024/11/30/update-kenaikan-gaji-pns-tni-polri-2025-prabowo-subianto-cuma-naikan-sertifikasi-guru-bukan-gaji,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,13000,2024-12-02,2024-12-02
m.tribunnews.com,Page,N/A,N/A,m.tribunnews.com/nasional/2024/11/24/penembakan-di-solok-selatan-akp-dadang-iskandar-terancam-hukuman-mati-dan-pemecatan?utm_source=pushnotif?source=kgnotif_1,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,11000,2024-12-01,2024-12-03
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/11/29/selamat-jalan-ibu-muda-mengantuk-sebabkan-kecelakaan-tragis-3-orang-tewas-di-honda-hr-v,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,9600,2024-11-29,2024-12-02
bangka.tribunnews.com,Page,N/A,N/A,bangka.tribunnews.com/2024/11/29/pelaku-pembunuhan-istri-dan-anak-di-pangkalpinang-dilarikan-ke-rumah-sakit-usai-ditangkap-polisi?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,8900,2024-11-29,2024-12-02
pekanbaru.tribunnews.com,Page,N/A,N/A,pekanbaru.tribunnews.com/2024/12/01/5-fakta-guru-di-kampar-ditemukan-tewas-diduga-dibunuh-leher-digorok-luka-bakar-di-tubuh,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,8200,2024-11-30,2024-12-02
