Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/10/05/terkuak-resti-widia-tewas-dengan-kondisi-leher-patah-daniel-sihombing-ikat-tangan-korban-usai-puas,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,62000,2024-10-05,2024-10-08
video.tribunnews.com,Page,N/A,N/A,video.tribunnews.com/view/762642/demi-penuhi-fantasi-12-orang-gelar-pesta-seks-swinger-di-batu-pernah-ajak-istri-layani-pria-lain?_source_stat_=%7B%22page_id%22%3A%22push%22%2C%22ods_id%22%3A%2230145239-4-3-66fe410089b4ce1e50e739f4%22%7D,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,25000,2024-10-03,2024-10-06
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/10/03/slamet-kalah-duel-ususnya-terburaisuarjana-ambil-pedang-lalu-tikam-lawannya,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,18000,2024-10-03,2024-10-06
jatim.tribunnews.com,Page,N/A,N/A,jatim.tribunnews.com/2024/10/03/pemilik-toko-bangunan-heran-barang-terjual-tapi-uangnya-tak-ada-ditilep-pegawai-sendiri-rp12-m?lgn_method=google&google_btn=onetap,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,18000,2024-10-03,2024-10-08
jatim.tribunnews.com,Page,N/A,N/A,jatim.tribunnews.com/2024/09/06/siap-dipecat-guru-amalia-pesan-ke-gubernur-usai-tegur-kepala-dinas-merokok-dalam-ruangan-berbobot,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,18000,2024-10-05,2024-10-08
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/10/03/slamet-kalah-duel-di-buleleng-ususnya-terburai-suarjana-ambil-pedang-lalu-tikam-lawannya,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,17000,2024-10-02,2024-10-06
jabar.tribunnews.com,Page,N/A,N/A,jabar.tribunnews.com/,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,16000,2024-10-07,2024-10-07
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/10/02/kronologi-kasus-penebasan-viral-di-buleleng-berawal-dari-pemukulan-hingga-berakhir-penusukan-pedang,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,12000,2024-10-02,2024-10-06
jakarta.tribunnews.com,Page,N/A,N/A,jakarta.tribunnews.com/2024/10/02/3-fakta-santri-di-aceh-disiram-air-cabai-oleh-istri-pimpinan-ponpes-menjerit-jerit-dalam-bak-mandi,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,8700,2024-10-02,2024-10-06
www.tribunnews.com,Page,N/A,N/A,www.tribunnews.com/regional/2024/10/05/kejinya-pembunuhan-resti-widia-mayat-dalam-lemari-di-jambi-korban-dicekik-diikat-mulut-disumpal,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,8200,2024-10-04,2024-10-08
bali.tribunnews.com,Page,N/A,N/A,bali.tribunnews.com/2024/10/03/slamet-kalah-duel-di-buleleng-ususnya-terburai-suarjana-ambil-pedang-lalu-tikam-lawannya?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,8000,2024-10-02,2024-10-06
m.tribunnews.com,Page,N/A,N/A,m.tribunnews.com/regional/2024/10/04/santri-di-aceh-yang-disiram-air-cabai-dan-digunduli-karena-merokok-kini-trauma?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,7300,2024-10-03,2024-10-07
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/10/06/cara-sadis-daniel-bunuh-resti-widia-usai-puas-berhubungan-pelaku-sudah-4-kali-pakai-jasa-korban,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,6900,2024-10-06,2024-10-08
batam.tribunnews.com,Page,N/A,N/A,batam.tribunnews.com/2024/10/02/6-pria-bebas-tiduri-istri-teman-saat-ikut-pesta-tukar-pasangan-di-vila-kota-batu-jawa-timur,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,6700,2024-10-02,2024-10-06
m.tribunnews.com,Page,N/A,N/A,m.tribunnews.com/regional/2024/10/05/kejinya-pembunuhan-resti-widia-mayat-dalam-lemari-di-jambi-korban-dicekik-diikat-mulut-disumpal?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,6200,2024-10-04,2024-10-08
jatim.tribunnews.com,Page,N/A,N/A,jatim.tribunnews.com/2024/10/04/4-fakta-viral-pria-pamer-organ-intim-ke-kasir-minimarket-ternyata-pelaku-mahasiswa-di-lampung,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,4600,2024-10-04,2024-10-07
batam.tribunnews.com,Page,N/A,N/A,batam.tribunnews.com/2024/10/05/pembunuhan-resti-widia-pelaku-cekik-korban-hingga-lehernya-patah-dalam-kondisi-tangan-terikat,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,4600,2024-10-04,2024-10-06
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/10/03/tampang-istri-pimpinan-ponpes-yang-siram-santri-pakai-air-cabai-korban-ketahuan-merokok,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,4500,2024-10-03,2024-10-08
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/404,Yes,Google-served ads on screens without publisher-content,Restricted ad serving,ca-pub-7784034061253020,4400,2024-10-02,2024-10-08
m.tribunnews.com,Page,N/A,N/A,m.tribunnews.com/regional/2024/10/07/pembunuhan-juru-parkir-di-medan-oleh-satu-keluarga-dicambuk-pakai-ekor-ikan-pari-ditusuk-7-kali?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,4000,2024-10-06,2024-10-06
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/2024/08/08/video-viral-erika-blunder-8-menit-prank-ojol-apa-isinya-klarifikasi-dan-faktasebenarnya,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3900,2024-10-02,2024-10-08
jatim.tribunnews.com,Page,N/A,N/A,jatim.tribunnews.com/surabaya,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3700,2024-10-02,2024-10-08
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/2023/06/06/dilarang-tayang-di-indonesia-5-anime-penuh-adegan-panas-18-tanpa-sensor,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3700,2024-10-02,2024-10-08
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/10/06/cara-sadis-daniel-bunuh-resti-widia-usai-puas-berhubungan-pelaku-sudah-4-kali-pakai-jasa-korban?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,3600,2024-10-05,2024-10-08
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2022/09/15/istri-perlu-tahu-begini-cara-puaskan-suami-jika-sedang-haid-jangan-biarkan-pasangan-anda-buat-dosa,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3600,2024-10-02,2024-10-08
jatim.tribunnews.com,Page,N/A,N/A,jatim.tribunnews.com/2024/10/02/terungkap-harta-kekayaan-asn-bekasi-yang-viral-larang-tetangganya-ibadah-ini-tanggapan-dari-kpk?source=kgnotif_1,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,3500,2024-10-02,2024-10-06
pekanbaru.tribunnews.com,Page,N/A,N/A,pekanbaru.tribunnews.com/2024/10/05/baru-berlari-5-meter-s-tikam-punggung-enjo-pakai-badik-cekcok-tewaskan-dua-orang-di-inhil-riau?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,3500,2024-10-06,2024-10-08
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/10/01/kisah-pilu-nurlela-tkw-yang-disekap-dan-disiksa-4-tahun-kerja-di-arab-saudi-begini-nasib-pelaku,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,3300,2024-10-02,2024-10-07
kaltim.tribunnews.com,Page,N/A,N/A,kaltim.tribunnews.com/2024/08/11/video-viral-erika-putri-dan-ojol-8-menit-blunder-masih-dicari-si-selebgram-respons-santai,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,3200,2024-10-02,2024-10-08
