Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/06/29/dr-boyke-ungkap-cara-mengetahui-perempuan-masih-perawan-atau-tidak-apa-bisa-dilihat-dari-fisik,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,1500000,2024-06-29,2024-07-04
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/06/29/dr-boyke-ungkap-cara-mengetahui-perempuan-masih-perawan-atau-tidak-apa-bisa-dilihat-dari-fisik?page=2,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,460000,2024-06-29,2024-07-04
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/06/29/dr-boyke-ungkap-cara-mengetahui-perempuan-masih-perawan-atau-tidak-apa-bisa-dilihat-dari-fisik?page=3,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,297000,2024-06-29,2024-07-04
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/06/28/berhubungan-intim-saat-haid-bisa-sebabkan-kista-cokelatdr-boyke-itu-darah-hidup,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,276000,2024-06-28,2024-07-04
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/06/27/segudang-manfaat-daun-sirih-untuk-kesehatan-tubuh-ini-penjelasan-dr-boyke,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,202000,2024-06-28,2024-07-04
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/01/odgj-mutilasi-odgj-di-garut-anak-anak-sempat-lihat-pelaku-cincang-tubuh-korban-videonya-viral,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,181000,2024-06-30,2024-07-04
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/01/kronologis-odgj-mutilasi-odgj-di-garut-pelaku-dan-korban-sempat-jalan-bersama-sebelum-kejadian,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,123000,2024-07-01,2024-07-04
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/01/viral-odgj-mutilasi-sesama-odgj-di-garut-korban-dibungkus-karung-warga-takut-mendekat,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,109000,2024-06-30,2024-07-04
depok.tribunnews.com,Page,N/A,N/A,depok.tribunnews.com/2024/07/02/fakta-kisah-perselingkuhan-di-jawa-timur-adik-lebih-hot-10-kali-kerap-hubungan-intim-di-hotel,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,101000,2024-07-01,2024-07-04
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/06/27/segudang-manfaat-daun-sirih-untuk-kesehatan-tubuh-ini-penjelasan-dr-boyke?page=3,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,56000,2024-06-28,2024-07-03
m.tribunnews.com,Page,N/A,N/A,m.tribunnews.com/metropolitan/2024/07/02/suami-bakar-istri-di-tangerang-pelaku-kesal-karena-korban-bawa-kunci-rumah?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,43000,2024-07-01,2024-07-04
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/01/odgj-mutilasi-odgj-di-garut-anak-anak-sempat-lihat-pelaku-cincang-tubuh-korban-videonya-viral?page=2,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,38000,2024-06-30,2024-07-03
wartakota.tribunnews.com,Page,N/A,N/A,wartakota.tribunnews.com/2024/06/30/warga-garut-geger-temukan-mayat-korban-mutilasi-di-pinggir-jalan-bagian-tubuhnya-terpotong-potong,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,37000,2024-06-30,2024-07-03
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/03/kunci-sukses-memiliki-keturunan-dengan-cara-promil-atau-program-hamil-ala-seksolog-dr-boyke,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,34000,2024-07-02,2024-07-04
jatim.tribunnews.com,Page,N/A,N/A,jatim.tribunnews.com/2023/01/05/suami-sakit-stroke-istri-pensiunan-polisi-selingkuh-dengan-pak-kades-di-kamar-sebelah-warga-ngamuk,No,Adult: Sexual content,Restricted ad serving,ca-pub-7784034061253020,31000,2024-06-28,2024-07-02
aceh.tribunnews.com,Page,N/A,N/A,aceh.tribunnews.com/2024/07/03/kasus-odgj-mutilasi-odgj-di-garut-pelaku-tawarkan-daging-anyar-ke-warga-dipotong-jadi-12-bagian,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,30000,2024-07-03,2024-07-04
medan.tribunnews.com,Page,N/A,N/A,medan.tribunnews.com/2024/07/01/sosok-erus-pelaku-odgj-mutilasi-odgj-di-garut-tersenyum-saat-diamankan-polisi-videonya-viral,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,26000,2024-06-30,2024-07-04
batam.tribunnews.com,Page,N/A,N/A,batam.tribunnews.com/,No,Adult: Sexual content;Shocking content,Restricted ad serving,ca-pub-7784034061253020,21000,2024-07-03,2024-07-04
jateng.tribunnews.com,Page,N/A,N/A,jateng.tribunnews.com/2024/07/01/kesaksian-nining-lihat-pelaku-mutilasi-garut-potong-tubuh-kirain-potong-ayam,No,Shocking content,Restricted ad serving,ca-pub-7784034061253020,21000,2024-06-30,2024-07-04
